2026-02-17,"WAREHOUSE GROCERY CO W552 VANCOUVER, BC",198.45,,4321********5678
2026-02-11,PAYMENT THANK YOU/MERCI,,503.87,4321********5678
2026-02-09,"RESTAURANT HERO BISTRO VANCOUVER, BC",15.53,,4321********5678
2026-02-09,"CRAFT BREWERY BAR VANCOUVER, BC",47.34,,4321********5678
2026-02-09,"SPORTS EQUIPMENT STORE VANCOUVER, BC",22.39,,4321********5678
2026-02-09,"WAREHOUSE GROCERY CO W552 VANCOUVER, BC",279.66,,4321********5678
2026-02-09,"WAREHOUSE GROCERY CO W552 VANCOUVER, BC",138.95,,4321********5678
2026-02-02,PAYMENT THANK YOU/MERCI,,75.99,4321********5678
2026-01-30,"COFFEE CHAIN #3351 VANCOUVER, BC",1.77,,4321********5678
2026-01-28,"WAREHOUSE GROCERY CO W552 VANCOUVER, BC",74.22,,4321********5678
2026-01-19,PAYMENT THANK YOU/MERCI,,130.19,4321********5678
2026-01-12,PAYMENT THANK YOU/MERCI,,308.64,4321********5678
2026-01-12,"CASUAL DINING YALETOWN VANCOUVER, BC",16.95,,4321********5678
2026-01-12,"STEAKHOUSE CHAIN BENTALL VANCOUVER, BC",38.29,,4321********5678
2026-01-12,"TRANSIT CARD TOPUP BURNABY, BC",3.35,,4321********5678
